SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
31633,25470,46.57767178261117,27.49373893215232,True,15.914411201675973,10.042741002602042,0.02170917232192693,38.46737446476958
31634,25471,42.570183427366494,27.367858024492655,True,20.19160072523295,9.986242357428068,-0.03449687543169411,34.29839464661536
31635,25472,37.31008351992254,28.576480186148867,True,13.025351178629355,10.017893628108311,-0.0038487879129327496,43.61752387639621
31637,25474,38.94764239167514,26.50182057733405,True,4.109751935039988,10.12158018304848,0.09231784951777655,93.88396995032478
31638,25475,40.855069147397394,27.78919685050233,True,33.346760821721794,9.98181351667813,-0.04064894895671323,30.859246055551484
31640,25477,43.35470319774053,23.960576671443572,True,20.285639484822223,9.981678879718459,-0.03906135178459813,34.236835462286706
31642,25479,38.30790767930959,24.17360684643053,True,10.530504101971532,9.995365575724975,-0.027487110112419444,50.66341223603355
31643,25480,44.735665778591205,22.184540604891843,True,2.302928682430511,10.333949868636438,0.3014403754093191,152.56450688040678
31647,25484,47.69204967969085,22.41747955426778,True,2.035371468825264,10.12915955229758,0.09609378186193851,176.03067300345
31650,25487,43.90364884676998,31.939518445158658,True,25.613259041301134,10.035664733136542,0.014519777634557585,31.97101981665356
31651,25488,48.56785740264475,27.454992843000856,True,4.830282848441704,9.982543683164465,-0.04564381993180966,85.1198341657874
31652,25489,45.205233900514365,31.48474053160785,True,6.450211306400509,10.097525017093005,0.07136953145423774,71.27156653183927
31653,25490,40.84224852470503,25.58386434267645,True,18.732756920441414,10.03870874582023,0.017948914063262933,35.392571513362114
31655,25492,49.45120401251806,23.9946753880749,True,1.4904910392525579,9.97645212041428,-0.05781361193317558,259.9865426134578
31658,25495,40.56145456392471,27.045908705828943,True,20.8599551577802,10.053534480055845,0.03278256430846049,33.881725911391584
31660,25497,47.15841836798681,27.440771390313973,True,20.59591972130523,10.015647045555227,-0.005098326651820528,34.04063687018752
31661,25498,46.23770841833663,31.95041039871843,True,4.450193736048257,9.993083257260508,-0.03565697943224322,89.40919915324066
31662,25499,40.91414532596118,25.433545883387737,True,9.023164301184591,10.100138569452241,0.07631796875638486,56.64007284514612
31663,25500,43.9166314111997,30.064366850134444,True,10.795753437343818,9.999805419740852,-0.022902276244874287,49.762891006790134
31664,25501,45.485447295724526,30.149347853987184,True,26.56900833234315,10.051599280669734,0.030326235395412127,31.7419693172887
31665,25502,45.78065919222897,22.12085595849442,True,10.011526605045377,10.058970184353143,0.03581280293908229,52.54872002207735
31666,25503,45.56890686244181,30.953093959860606,True,14.200434992488338,10.023237282952351,0.0018472326377096948,41.21100037280567
31668,25505,38.85981567591837,28.11256254535832,True,25.3724324235573,9.992951259008976,-0.02816353649289738,32.03491908594099
31669,25506,39.30476003150417,22.55679242904872,True,7.803606602756399,10.06620205625623,0.041394747080396144,62.753238156978256
31675,25512,44.99382970104479,29.173708118804512,True,3.942135660549858,9.9587099824478,-0.07081914275854473,96.39155609122965
31676,25513,38.525060836582966,24.70271970147956,True,26.35710516698275,10.024967063526844,0.0037235274865494716,31.78955725766996
31677,25514,40.85375621220837,21.702167850651154,True,12.09732462777909,10.157456617020102,0.13536389605781096,45.893159154609556
31678,25515,49.30850136116759,24.424001667597523,True,14.07213228858296,10.008262591525721,-0.013161376740059794,41.450749606106264
31680,25517,48.57070630217252,31.315642317680464,True,12.669788908804383,10.107619667848894,0.08575103981851129,44.44679706202146
31681,25518,46.10151296119167,26.139226364762816,True,6.948804104717674,9.956183728825891,-0.06944131631654216,67.88742079708712
31683,25520,41.295964855037326,23.760116002331042,True,21.926114810475475,10.024642538222025,0.0038452611544634863,33.30861918515095
31689,25526,44.94028415418651,30.41585681863027,True,11.009827428834463,10.121496665446898,0.09890090745652991,49.065472365026814
31691,25528,45.4389662024093,26.60879007104325,True,21.01738308258877,10.024085440822063,0.0033287034227846846,33.79035277232656
31692,25529,47.31421603895213,24.51308906241639,True,14.62627528750593,10.128870122273753,0.10758516899501025,40.45212014426278
31693,25530,39.27227015038059,28.33511553725151,True,20.663360965419347,10.064085743896698,0.043338886937675625,33.99935873112492
31694,25531,43.26730947625147,32.89415061637147,True,4.63226166521903,10.1748949368978,0.1464233512912596,87.27780106923318
31695,25532,48.805936264665156,23.11865989476034,True,16.678613624539143,10.095035643893226,0.07411251350172243,37.481606169525634
31698,25535,41.389734503341046,25.277846323300714,True,15.403563256910848,9.987344025447896,-0.03377711865173616,39.2023549807331
31700,25537,42.84787217231646,31.176006656803498,True,24.872773495900226,10.061686439563772,0.040631302083781407,32.17623973991501
31702,25539,44.31489448024802,21.982860330032977,True,5.961502718240163,9.91679503014359,-0.10992169186503986,74.92060449563603
31703,25540,39.242408909209786,29.245715232744608,True,13.53844707034321,10.094934209200602,0.07335743467673161,42.50673627028117
31706,25543,45.002958480625935,29.123773235164276,True,38.06401291394867,9.970679479286702,-0.05278668548267973,30.63695126052595
31707,25544,45.38984492053724,31.36189818708864,True,19.583955353084928,9.999796277356438,-0.020943050205701752,34.72108146082954
31708,25545,46.16417694091797,26.07251156846138,True,1.1006421428674455,10.098751114062907,0.06356872020902671,374.835972816269
31709,25546,42.54315039229719,29.877373264260488,True,32.88050542061521,10.008628388496703,-0.013740675281361803,30.892636255511487
31710,25547,45.71088242204222,30.766015196499758,True,11.367173755318223,9.99567724073745,-0.026741418867541,47.95698801948697
31711,25548,40.61554263389274,25.882658318297505,True,21.336988484707806,10.028676525834442,0.007907950384417717,33.61228419097865
31712,25549,44.123422701064854,29.574522462609696,True,27.685653395860538,10.021453696540476,1.5574508463345182e-05,31.517927100744153
31714,25551,38.218405788891936,25.443540782144623,True,5.1117427235304005,9.967355030742254,-0.06044282691949121,82.28602953766767
31719,25556,41.68862862782935,33.347408294677734,True,9.871429762678718,10.153691294438886,0.130446704369362,53.08717468852086
31723,25560,47.3296094397976,25.70265730766401,True,25.707822908925145,9.988977060378375,-0.03217997920774707,31.946643269850785
31724,25561,48.09145532895441,23.96100932604646,True,19.36473400836255,10.022140303638707,0.001398047827366966,34.88474121480513
31725,25562,45.30688779648036,29.519127806572065,True,39.31241975571568,10.02090214192728,-0.0028433283743982685,30.602600775755512
31726,25563,41.89797607839924,29.062659825364204,True,19.6243238404488,10.133739577333188,0.11300061766558933,34.69161094777759
31727,25564,41.1810254136177,25.187361965440726,True,31.195428452609224,10.02565177666628,0.003608747158155623,31.03828699407949
31729,25566,44.58930640024682,31.945953839445767,True,10.754892654793352,10.045094799731856,0.022365227214988792,49.898951191910655
31732,25569,41.609973332653304,31.608151161507383,True,16.02080170845047,10.072893363957718,0.05187840911453456,38.322258371747374
31736,25573,40.71027342913902,24.38196877257465,True,4.0230636430203175,10.020886246087883,-0.008513250832107744,95.15133446694576
31737,25574,44.80930699387642,32.47672235149227,True,7.286265799199241,10.154131704561848,0.1288428363245302,65.76658603065934
31738,25575,38.79110095925527,25.456974421461968,True,9.357377553728819,10.079714867987235,0.05613131814064687,55.17796584742562
31740,25577,43.70815543605857,30.944854919224568,True,11.727628524998831,10.042993064870473,0.0207411587366515,46.90576141570178
31741,25578,40.3159030234977,22.45482026714168,True,4.796955591550982,10.12137368485699,0.09313895295700547,85.47261333884776
31742,25579,40.6403659141227,30.087169647216797,True,2.516639743632282,9.611975836354418,-0.42010425836618204,138.7564030826307
31743,25580,37.92624455282133,24.40172284269986,True,14.13849266030818,9.971050972287912,-0.05035532007888044,41.3260871307103
31744,25581,41.394309422741195,23.924220568513217,True,9.867274409073884,10.06152575215745,0.03827854234146599,53.1033446337862
31745,25582,48.6806708557965,23.24443720464837,True,9.561017313615318,10.037066646079012,0.013621007733625845,54.32750756036811
31748,25585,41.73960902592907,26.890578936224113,True,10.804527958104622,10.021574031056304,-0.0011289886588485842,49.733797660908984
31749,25586,41.581437150092974,19.185278931709185,True,33.341822914930155,10.081088196056925,0.05862672620549603,30.859585839973224
31750,25587,46.657945188757495,27.17471112290474,True,3.4093402368957846,9.98010724928261,-0.050314509123875695,106.43537560255305
31753,25590,40.035054873113765,24.681621133464656,True,18.598276643873568,10.000285666924611,-0.02047972936652087,35.50793796504028
31754,25591,40.08580868864713,24.042041046978675,True,8.463066532347764,10.041250865160663,0.017001730847200136,59.28767936415588
31755,25592,43.15137481689453,24.767913348054233,True,11.161766731660341,10.056818638247563,0.03429964846318967,48.58582428743605
31756,25593,43.39849158509137,29.50683003255766,True,27.243539650379073,10.077315486919787,0.05594457743211123,31.601527890772452
31758,25595,47.88463352151113,27.689784010795698,True,18.489481550236867,10.048343922456752,0.027573538406906906,35.60324105903466
31759,25596,43.69807700588279,22.898079754555063,True,11.856225538390142,10.03248733935547,0.010292137392637457,46.54621062511108
31760,25597,44.760377073941164,25.9148041450814,True,18.349757460469334,10.065923304801913,0.04514586699281509,35.72828103998347
31761,25598,45.547657692269105,24.588765575461192,True,57.76552595426585,10.067409285208782,0.039262992830993326,30.465098920594098
31762,25599,39.35483169555664,24.33321153301082,True,9.227056868587928,10.00630630572752,-0.017368072383197486,55.738090768198205
31763,25600,45.49353403587864,27.815456730045685,True,9.914000486607948,9.97261390602472,-0.05060395554456498,52.922181331107026
31764,25601,45.95930162194657,19.980126498496695,True,10.161141886300763,10.008434974002455,-0.014631636790779723,51.98783472520152
31765,25602,47.50265764210322,26.99470804815423,True,34.820371913431586,10.024642285192186,0.0018768228399608233,30.7697058814745
31766,25603,45.074721088148145,26.79636521535377,True,11.847951444379731,10.015498541330516,-0.006700265816396822,46.56910609907574
31767,25604,38.650443926249466,29.562153959927493,True,3.8915313644231015,9.92240639780664,-0.10720456607754514,97.19769689336091
31768,25605,40.42201295617509,29.700292012462878,True,3.942729222516758,10.049583361940307,0.020055193076204958,96.38224501335674
31770,25607,47.98875463825382,26.771343544737935,True,34.06332001502561,10.001335267055197,-0.021273127036451456,30.812873853944513
31772,25609,41.229831643300514,31.23512659987358,True,8.530856328036716,9.961556192404828,-0.06263891869519078,58.95342618496022
31773,25610,46.328635594616195,25.894276579765425,True,15.314940923783162,10.057810216553264,0.03667214022897092,39.33655941957158
31775,25612,42.726370092940655,23.426683164622684,True,11.71137295679108,10.080578094332225,0.058318917545747695,46.951779639969956
31776,25613,39.74653285823456,24.025554134421153,True,13.846980737531299,10.012070763019267,-0.00941533195576838,41.88446732187036
31778,25615,44.61762394317209,29.863104441394544,True,15.336480677699045,9.986443550707236,-0.034690370150441296,39.303752587063826
31783,25620,48.478498850783254,27.77104889856626,True,18.03273361392007,9.987730351753243,-0.03306585832467057,36.02337521865407
31784,25621,43.8194158893742,30.771547552657452,True,17.016829818210795,10.004242627236096,-0.01664129831155492,37.08499697979601
31785,25622,41.529148206318894,30.90520145468516,True,1.1783722491870627,82.13952044036972,72.104524826199,346.5088539507282
31786,25623,17.428473041482167,9.732111525862184,True,23.382075591249446,9.992891744359525,-0.028011140532800738,32.67773203706632
31787,25624,47.94616255041671,30.27682740720984,True,10.033208232173948,10.095615223852775,0.07247114673475252,52.46654161416602
31788,25625,38.23900186199032,25.919416427612305,True,6.398984485804089,10.084696272299084,0.058483920825871394,71.63767748199102
31789,25626,47.99451969094472,24.74720414044106,True,11.19445213296755,10.167326041692547,0.14482328045374082,48.48426910822457
31790,25627,44.93649203156772,27.366402900382266,True,15.878848625475959,10.028099224058053,0.007061622939357193,38.51647642649765
31791,25628,47.170391187275925,31.04873962924905,True,25.176189171454837,10.010962029897541,-0.010128856538116793,32.088980706214706
31793,25630,46.40725603495559,26.39642853932838,True,11.231892604143537,9.991231977395955,-0.03125231761659819,48.36863876769948
31795,25632,45.841084571733866,29.71711119560346,True,22.025751984827316,10.036430182879656,0.015627206413547867,33.26023316976579
31797,25634,45.190965103776485,31.157617568969727,True,27.314377573671724,9.996357231019175,-0.02502428927755318,31.5877018449588
31798,25635,45.544439132899456,28.513924115324674,True,7.531000341767952,9.976130176743055,-0.048925907530721346,64.30672025513155
31799,25636,39.08309382608492,21.493034728585858,True,12.867538337449737,10.09999251226526,0.07819526574713365,43.979340894833285
31800,25637,40.48996117996843,22.974663669115877,True,3.805640497764225,9.954561131896668,-0.07519012728002217,98.62506850200779
31801,25638,44.769139120023546,29.02439336907374,True,33.725568615121254,10.002764954175717,-0.019774308979343402,30.834020941839416
31802,25639,47.5808464468342,26.549856081400833,True,22.305681919397994,10.0148866751029,-0.005933569757999635,33.12864486298733
31803,25640,44.87979951623368,32.47117013800634,True,11.96511943324627,9.985256465453432,-0.03689183786103456,46.24790224318893
31804,25641,45.26822280883789,24.465561409519143,True,11.73171311527021,10.107532264587718,0.08528218172689606,46.894218465844574
31806,25643,39.97695729503893,20.991745151885567,True,12.675090773110265,10.013415903642084,-0.008450771175080973,44.434055680157385
31807,25644,38.01653080770414,24.873620595017524,True,12.793732641880723,10.066378212508113,0.04455467587574624,44.151953024478836
31808,25645,42.33384103644384,22.790351188346133,True,26.552310048699532,10.078687868341973,0.057417170492945147,31.745656728327532
31809,25646,45.65719991187527,31.85309214134739,True,6.407237365239563,10.10095923198233,0.074756072349345,71.57844994350114
31810,25647,48.72600957792099,24.450130828439374,True,7.983376715331617,10.048608561105084,0.023959416625444874,61.768702871674485
